recnum,fc_num,contact_date,sex,race,age,build,hair_style,complexion,ethnicity,otherclothing
100059163,F190041861,2019-01-17 17:20:00.0,Male,Unknown,27,Medium,Afro,Light,Hispanic Origin,"GRAY HOODIE, BLUE JEANS , BROWN WORK BOOTS"
100059164,F190041835,2019-01-16 16:05:00.0,Male,Native Hawaiian / Other Pacific Islander,42,,,,,"ORANGE JACKET, BLACK JEANS"
100059166,F190041832,2019-01-16 16:30:00.0,Male,White,,,,,Not of Hispanic Origin,BLACK JACKET BLUE JEANS
100059167,F190041833,2019-01-16 16:20:00.0,Female,White,,,,Light,Not of Hispanic Origin,BLACK JACKET AND GREY SWEAT PANTS
100059168,F190041831,2019-01-16 16:30:00.0,Male,Unknown,39,,,,Hispanic Origin,RED JACKET AND BLUE JEANS
100059182,F190041885,2019-01-18 07:50:00.0,Male,Black,51,Medium,,Dark,Not of Hispanic Origin,"BROWN JACKET, BLUE JEANS"
100059183,F190041885,2019-01-18 07:50:00.0,Male,Black,,,,,,
100059186,F190041870,2019-01-17 17:16:00.0,Male,Black,22,Medium,Curly,Light Brown,Unknown,
100059188,F190041888,2019-01-18 15:00:00.0,Male,White,29,Stocky,Short,Light,Hispanic Origin,
100059189,F190041888,2019-01-18 15:00:00.0,Male,White,36,Heavy,Short,,Hispanic Origin,
100059190,F190041888,2019-01-18 15:00:00.0,Male,Asian,23,Medium,,,Not of Hispanic Origin,
100059198,F190041874,2019-01-17 21:00:00.0,Male,Black,21,Thin,Braids,Medium Brown,Hispanic Origin,
100059200,F190041874,2019-01-17 21:00:00.0,Male,Black,17,,,,,
100059201,F190041873,2019-01-17 22:00:00.0,Male,Black,25,Thin,Braids,Light Brown,Not of Hispanic Origin,"BLUE AND GOLD VARSITY STYLE JACKET, BLUE JEANS, AND SILVER ""PUPPY DOG"" STYLE SNEAKERS"
100059203,F190041865,2019-01-17 19:30:00.0,Male,Black,25,,,,,
100059204,F190041854,2019-01-17 00:45:00.0,Male,White,53,Heavy,,,Unknown,"BLACK JACKET, DARK PANTS, WHITE SNEAKERS W/ LIME GREEN SOLES"
100059210,F190041845,2019-01-15 21:00:00.0,Male,Black,22,,,,,"BLUE HARVARD VARSITY STYLE LETTERMAN JACKET WITH WHITE SLEEVES AND THE NUMBER ""85"" ON EACH SLEEVE"
